mid,aid
4144,12453
4144,12454
4144,12455
4144,1357
4144,12453
4144,12453
4144,21909
4144,45818
4144,232804
4144,12667
4145,18355
4145,18355
4146,2303
4146,33683
4146,33684
4146,33684
4146,2303
4146,2487
4146,33683
4146,6223
4146,5267
4146,33685
4146,432
4146,33686
4146,33687
4146,5215
4147,73693
4147,73693
4147,560258
4147,560254
4148,578
4148,16786
4148,1255
4148,2260
4148,19051
4148,930
4148,578
4148,947
4148,943
4148,950
4148,5398
4148,1433743
4148,949
4148,17400
4148,958921
4148,945
4148,946
4148,15908
4148,1464513
4148,1445469
4148,1404200
4148,15907
4148,1464515
4148,16595
4148,77251
4148,1464516
4148,968175
4148,1464517
4148,1408779
4148,1405382
4148,1338372
4148,1367493
4148,1392901
4148,14764
4148,13166
4148,1406390
4148,1423757
4148,1342657
4148,1377220
4148,113073
4148,1404212
4148,14765
4148,1405814
4148,1401631
4148,1425484
4148,1464518
4148,1464519
4148,1404221
4148,1378239
4148,11113
4148,1332515
4148,12579
4148,8673
4148,1464520
4148,1401997
4148,1464521
4148,17649
4148,1328406
4148,1464522
4148,1378766
4148,1400735
4148,1388921
4148,63421
4148,1464523
4148,1464524
4148,1262129
4148,1405246
4149,17494
4149,67354
4149,1296
4149,67376
4149,58187
4149,69669
4149,69670
4150,146949
4151,9734
4151,28279
4151,69894
4151,28281
4151,28279
4151,3564
4151,6316
4152,8965
4152,51967
4152,16928
4152,8965
4152,1259
4152,2596
4152,12758
4152,28690
4152,10969
4152,406471
4152,11422
4153,3288
4153,3289
4153,2632
4153,65919
4153,52849
4153,59164
4154,141706
4155,19969
4155,19970
4155,19155
4155,6345
4155,6346
4155,8220
4155,16467
4155,14041
4155,19971
4155,9169
4155,1202
4155,19972
4155,10950
4155,19973
4156,130750
4156,32983
4156,32983
4156,130750
4157,122441
4157,122441
4158,57646
4158,1450347
4158,1450347
4158,384204
4158,1454757
4158,1454028
4158,555823
4158,1448043
4158,1454759
4158,1205975
4158,1454750
4158,1454032
4158,1453626
4158,565297
4158,1453496
4158,1448071
4158,1353148
4158,1452917
4159,71420
4159,8303
4159,71418
4159,71418
4159,36618
4159,9204
4159,21222
4159,21119
4159,21120
4159,71418
4159,71421
4159,18691
4159,71422
4159,21479
4160,37626
4160,51833
