mid,genre
Toy Story (1995),Adventure
Toy Story (1995),Animation
Toy Story (1995),Children
Toy Story (1995),Comedy
Toy Story (1995),Fantasy
Jumanji (1995),Adventure
Jumanji (1995),Children
Jumanji (1995),Fantasy
Grumpier Old Men (1995),Comedy
Grumpier Old Men (1995),Romance
Waiting to Exhale (1995),Comedy
Waiting to Exhale (1995),Drama
Waiting to Exhale (1995),Romance
Father of the Bride Part II (1995),Comedy
Heat (1995),Action
Heat (1995),Crime
Heat (1995),Thriller
Sabrina (1995),Comedy
Sabrina (1995),Romance
Tom and Huck (1995),Adventure
Tom and Huck (1995),Children
Sudden Death (1995),Action
GoldenEye (1995),Action
GoldenEye (1995),Adventure
GoldenEye (1995),Thriller
"American President, The (1995)",Comedy
"American President,Drama
"American President,Romance
Dracula: Dead and Loving It (1995),Comedy
Dracula: Dead and Loving It (1995),Horror
Balto (1995),Adventure
Balto (1995),Animation
Balto (1995),Children
Nixon (1995),Drama
Cutthroat Island (1995),Action
Cutthroat Island (1995),Adventure
Cutthroat Island (1995),Romance
Casino (1995),Crime
Casino (1995),Drama
Sense and Sensibility (1995),Drama
Sense and Sensibility (1995),Romance
Four Rooms (1995),Comedy
Ace Ventura: When Nature Calls (1995),Comedy
Money Train (1995),Action
Money Train (1995),Comedy
Money Train (1995),Crime
Money Train (1995),Drama
Money Train (1995),Thriller
Get Shorty (1995),Comedy
Get Shorty (1995),Crime
Get Shorty (1995),Thriller
Copycat (1995),Crime
Copycat (1995),Drama
Copycat (1995),Horror
Copycat (1995),Mystery
Copycat (1995),Thriller
Assassins (1995),Action
Assassins (1995),Crime
Assassins (1995),Thriller
Powder (1995),Drama
Powder (1995),Sci-Fi
Leaving Las Vegas (1995),Drama
Leaving Las Vegas (1995),Romance
Othello (1995),Drama
Now and Then (1995),Children
Now and Then (1995),Drama
Persuasion (1995),Drama
Persuasion (1995),Romance
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure
"City of Lost Children,Drama
"City of Lost Children,Fantasy
"City of Lost Children,Mystery
"City of Lost Children,Sci-Fi
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama
Dangerous Minds (1995),Drama
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Sci-Fi
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Thriller
Wings of Courage (1995),Adventure
Wings of Courage (1995),Romance
Wings of Courage (1995),IMAX
Babe (1995),Children
Babe (1995),Drama
Carrington (1995),Drama
Carrington (1995),Romance
Dead Man Walking (1995),Crime
Dead Man Walking (1995),Drama
Across the Sea of Time (1995),Documentary
Across the Sea of Time (1995),IMAX
It Takes Two (1995),Children
It Takes Two (1995),Comedy
Clueless (1995),Comedy
Clueless (1995),Romance
"Cry, the Beloved Country (1995)",Drama
Richard III (1995),Drama
Richard III (1995),War
Dead Presidents (1995),Action
Dead Presidents (1995),Crime
Dead Presidents (1995),Drama
Restoration (1995),Drama
Mortal Kombat (1995),Action
Mortal Kombat (1995),Adventure
Mortal Kombat (1995),Fantasy
To Die For (1995),Comedy
To Die For (1995),Drama
To Die For (1995),Thriller
How to Make an American Quilt (1995),Drama
How to Make an American Quilt (1995),Romance
Seven (a.k.a. Se7en) (1995),Mystery
Seven (a.k.a. Se7en) (1995),Thriller
Pocahontas (1995),Animation
Pocahontas (1995),Children
Pocahontas (1995),Drama
Pocahontas (1995),Musical
Pocahontas (1995),Romance
When Night Is Falling (1995),Drama
