mid,name,rating,director
131074,Mount St. Elias (2009),2.50,Gerald Salmina
1,Toy Story (1995),3.92,John Lasseter
2,Jumanji (1995),3.22,Joe Johnston
131072,Jesus liebt mich (2012),2.50,Florian David Fitz
3,Grumpier Old Men (1995),3.18,Howard Deutch
65538,"Young Visiters,3.21,David Yates
4,Waiting to Exhale (1995),2.88,Forest Whitaker
131078,Benjamin Blümchen - Seine schönsten Abenteuer (2006),2.50,
5,Father of the Bride Part II (1995),3.08,Charles Shyer
6,Heat (1995),3.83,Michael Mann
131076,Süperseks (2004),2.50,Torsten Wacker
7,Sabrina (1995),3.37,Sydney Pollack
8,Tom and Huck (1995),3.15,Peter Hewitt
131082,Playground (2009),4.50,Libby Spears
9,Sudden Death (1995),3.02,Peter Hyams
10,GoldenEye (1995),3.44,Martin Campbell
131080,Cinderella III: A Twist in Time (2007),2.75,Frank Nissen
11,"American President,3.67,Rob Reiner
12,Dracula: Dead and Loving It (1995),2.67,Mel Brooks
131086,The Little Polar Bear: Lars and the Little Tiger (2002),2.50,
13,Balto (1995),3.29,Simon Wells
14,Nixon (1995),3.43,Oliver Stone
131084,Hui Buh: The Castle Ghost (2006),2.50,Sebastian Niemann
15,Cutthroat Island (1995),2.73,Renny Harlin
16,Casino (1995),3.78,Martin Scorsese
131090,Jonas (2012),3.00,Robert Wilde
17,Sense and Sensibility (1995),3.97,Ang Lee
65552,Replicant (2001),2.46,Ringo Lam
18,Four Rooms (1995),3.39,Allison Anders
131088,Girls on Top 2 (2004),2.50,Peter Gersina
19,Ace Ventura: When Nature Calls (1995),2.61,Steve Oedekerk
20,Money Train (1995),2.90,Joseph Ruben
131094,Rudolph the Red-Nosed Reindeer: The Movie (1998),3.00,William R. Kowalchuk
21,Get Shorty (1995),3.58,Barry Sonnenfeld
65556,"Duel at Silver Creek,3.50,Don Siegel
22,Copycat (1995),3.30,Jon Amiel
131092,"Mickey,3.00,Donovan Cook
23,Assassins (1995),3.16,Richard Donner
65558,"Recruiter,3.08,Edet Belzberg
24,Powder (1995),3.19,Victor Salva
131098,Saving Santa (2013),3.00,
25,Leaving Las Vegas (1995),3.68,Mike Figgis
26,Othello (1995),3.62,Oliver Parker
131096,Russendisko (2012),3.00,Oliver Ziegenbalg
27,Now and Then (1995),3.43,Lesli Linka Glatter
65562,Habana Blues (2005),3.50,Benito Zambrano
28,Persuasion (1995),4.06,Roger Michell
131102,Lucky Luke: The Ballad of the Daltons (1978),3.00,Rene Goscinny
29,"City of Lost Children,3.93,Jean-Pierre Jeunet
65564,"Battle of China,3.50,
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.65,Yimou Zhang
65567,Passengers (2008),2.88,Rodrigo Garcia
131100,Forget me not (2013),3.50,David Sieveking
31,Dangerous Minds (1995),3.24,John N. Smith
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.88,Terry Gilliam
131106,Casper's Haunted Christmas (2000),3.00,Owen Hurley
33,Wings of Courage (1995),3.02,Jean-Jacques Annaud
34,Babe (1995),3.65,Chris Noonan
131104,The Brain (1969),3.00,Gerard Oury
35,Carrington (1995),3.51,Christopher Hampton
36,Dead Man Walking (1995),3.95,Tim Robbins
131110,A House of Secrets: Exploring 'Dragonwyck' (2008),3.00,
37,Across the Sea of Time (1995),2.99,Stephan Low
38,It Takes Two (1995),2.88,Andy Tennant
131108,The Fearless Four (1997),3.00,
39,Clueless (1995),3.41,Andras Solyom
40,"Cry,3.66,Darrell Roodt
65577,"Tale of Despereaux,3.11,Rob Stevenhagen
131114,La Planque (2011),3.50,Akim Isker
41,Richard III (1995),3.86,Richard Loncraine
42,Dead Presidents (1995),3.06,Allen Hughes
131112,Night of the Living Dorks (2004),3.50,Mathias Dinter
43,Restoration (1995),3.47,Michael Hoffman
44,Mortal Kombat (1995),2.63,Paul W.S. Anderson
131118,Siegfried (2005),3.50,
45,To Die For (1995),3.38,Gus Van Sant
46,How to Make an American Quilt (1995),3.27,Jocelyn Moorhouse
131116,La Première étoile (2009),3.50,Lucien Jean-Baptiste
47,Seven (a.k.a. Se7en) (1995),4.05,David Fincher
48,Pocahontas (1995),2.94,Eric Goldberg
65585,Bride Wars (2009),2.91,Gary Winick
131122,Love Exposure (2007),3.50,
49,When Night Is Falling (1995),3.60,Patricia Rozema
50,"Usual Suspects,4.33,Bryan Singer
131120,Superstar Goofy (1991),3.50,
51,Guardian Angel (1994),2.58,Richard W. Munchkin
52,Mighty Aphrodite (1995),3.54,Woody Allen
131126,Erkan & Stefan 3 (2005),3.50,
65588,"Gamers,3.62,Matt Vancil
53,Lamerica (1994),3.70,Gianni Amelio
54,"Big Green,2.87,Holly Goldberg Sloan
131124,Erkan & Stefan 2 (2002),3.50,Axel Sand
55,Georgia (1995),3.24,Ben Lewin
56,Kids of the Round Table (1995),2.00,Robert Tinnell
131130,Tom and Jerry: A Nutcracker Tale (2007),3.50,Spike Brandt
57,Home for the Holidays (1995),3.33,Jodie Foster
58,"Postman,3.97,Michael Radford
131128,Flodder 3 (1995),3.50,Dick Maas
59,"Confessional,3.59,Robert Lepage
60,"Indian in the Cupboard,3.08,Frank Oz
131134,Manta - Der Film (1991),3.50,
61,Eye for an Eye (1996),3.34,Sara Botsford
65596,Mesrine: Killer Instinct (L'instinct de mort) (2008),3.75,Jean-Francois Richet
62,Mr. Holland's Opus (1995),3.76,Stephen Herek
131132,Kleines Arschloch - Der Film (1997),3.50,
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),3.10,Paris Barclay
64,Two if by Sea (1996),2.84,Bill Bennett
65601,My Bloody Valentine 3-D (2009),2.60,Patrick Lussier
131138,My Führer (2007),3.50,Dani Levy
65,Bio-Dome (1996),2.42,Jason Bloom
66,Lawnmower Man 2: Beyond Cyberspace (1996),2.17,Farhad Mann
65603,Blood and Bones (Chi to hone) (2004),2.77,Yoichi Sai
131136,Girls on Top (2001),3.50,Dennis Gansel
67,Two Bits (1995),3.37,James Foley
68,French Twist (Gazon maudit) (1995),3.46,Josiane Balasko
131142,Voll Normaaal (1994),4.00,Ralf Huettner
69,Friday (1995),3.56,Marek Koterski
70,From Dusk Till Dawn (1996),3.28,Robert Rodriguez
131140,Stopped on Track (2011),4.00,Andreas Dresen
71,Fair Game (1995),2.36,Andrew Sipes
72,Kicking and Screaming (1995),3.49,Noah Baumbach
131146,Werner - Volles Rooäää (1999),4.00,
73,"Misérables,3.80,Claude Lelouch
74,Bed of Roses (1996),3.31,Michael Goldenberg
